,Prediction Number of Booking,Time
0,0.8787324023091414,0
1,0.8379074925619054,1
2,1.3703038874176954,2
3,0.5597937422407762,3
4,0.8013001864796827,4
5,1.498171872248756,5
6,0.6500005485351844,6
7,0.5173982749934305,7
8,0.7686935356015051,8
9,1.7330686580088421,9
10,1.7025139559616629,10
11,1.6224654480991252,11
12,1.4157899303937214,12
13,2.227587824621749,13
14,3.0882419135566,14
15,4.090348432312089,15
16,3.821726504085687,16
17,4.2411295860738205,17
18,2.539311086971332,18
19,2.1396077206254986,19
20,3.102887612825035,20
21,2.223857174584824,21
22,1.2621192511928188,22
23,1.5242194713887258,23
